id,산,고도,지역,인증 지점,컬렉션,모티프,x,y,scale,기본 눈,해 x,해 y,팔레트
"0000000002","가리산","1051","강원","가리산정상1051","hundred","rock-wall","63","67","0.63","custom","121","50","red"
"0000000003","가리왕산","1562","강원","가리왕산 정상","hundred","none","0","0","1","custom","54","49","red"
"0000000008","계방산","1579","강원","계방산정상","hundred","none","0","0","1","custom","54","49","red"
"0000000009","공작산","887","강원","공작산 정상(과거 정상표지석 위치)","hundred","none","0","0","1","none","121","50","red"
"0000000025","덕항산","1073","강원","덕항산 정상","hundred","sheer-face","63","68","0.65","custom","121","50","red"
"0000000029","두타산","1357","강원","두타산","hundred","rock-spire","44","77","0.4","custom","121","50","red"
"0000000032","명성산","922","강원","삼각봉","hundred","meadow","51","116","0.85","none","121","50","gold"
"0000000040","방태산","1446","강원","방태산주억봉 1,444m","hundred","none","0","0","1","custom","54","49","red"
"0000000041","백덕산","1350","강원","백덕산정상","hundred","none","0","0","1","custom","121","50","red"
"0000000045","백운산(정선)","884","강원","백운산","hundred","sheer-face","59","68","0.53","none","121","50","red"
"0000000049","삼악산","656","강원","삼악산 용화봉(654m)","hundred","none","0","0","1","none","121","50","red"
"0000000059","오대산","1565","강원","비로봉정상","hundred","none","0","0","1","custom","54","49","red"
"0000000060","오봉산","778","강원","오봉산 정상","hundred","none","0","0","1","none","121","50","red"
"0000000062","용화산","878","강원","용화산 정상","hundred","rock-spire","73","55","0.4","none","121","50","red"
"0000000069","응봉산","1000","강원","응봉산 정상","hundred","none","0","0","1","custom","54","49","red"
"0000000086","치악산","1282","강원","비로봉정상","hundred","cairn","86","41","0.68","custom","128","45","red"
"0000000089","태화산","1028","강원","태화산정상","hundred","none","0","0","1","custom","54","49","red"
"0000000091","팔봉산","328","강원","팔봉산","hundred","none","0","0","1","none","121","50","red"
"0000000006","강천산","586","전라","운대봉","hundred","sheer-face","55","79","0.46","none","121","50","red"
"0000000016","깃대봉","368","전라","홍도 깃대봉","hundred","none","0","0","1","none","121","50","red"
"0000000019","내장산","764","전라","까치봉 정상","hundred","none","0","0","1","none","54","49","red"
"0000000024","덕유산","1614","전라","중봉","hundred","dead-tree","49","57","0.63","custom","128","45","gold"
"0000000028","두륜산","700","전라","노승봉","hundred","rock-dome","55","75","0.61","none","121","50","red"
"0000000031","마이산","687","전라","암마이봉정상","hundred","none","0","0","1","none","121","50","red"
"0000000034","모악산","795","전라","정상","hundred","none","0","0","1","none","54","49","red"
"0000000039","방장산","734","전라","산정상","hundred","none","0","0","1","none","121","50","red"
"0000000042","백암산","741","전라","사자봉","hundred","sheer-face","64","66","0.58","none","121","50","red"
"0000000044","백운산(광양)","1222","전라","백운산 상봉","hundred","rock-dome","92","61","0.34","custom","54","49","red"
"0000000046","변산","509","전라","옥녀봉","hundred","none","0","0","1","none","121","50","red"
"0000000065","운장산","1126","전라","운장대","hundred","rock-wall","73","76","0.47","custom","54","49","red"
"0000000070","장안산","1237","전라","장안산","hundred","meadow","49","115","0.9","custom","54","49","gold"
"0000000072","적상산","1031","전라","향로봉","hundred","sheer-face","61","74","0.73","custom","54","49","red"
"0000000074","조계산","887","전라","조계산연산봉","hundred","none","0","0","1","none","121","50","red"
"0000000079","천관산","724","전라","천관산 연대봉","hundred","rock-spire","72","68","0.44","none","121","50","red"
"0000000084","추월산","731","전라","보리암정상","hundred","sheer-face","62","66","0.56","none","121","50","red"
"0000000092","팔영산","607","전라","팔영산 5봉","hundred","none","0","0","1","none","54","49","red"
