id,산,고도,지역,인증 지점,컬렉션,모티프,x,y,scale,기본 눈,해 x,해 y,팔레트
"0000000005","감악산","675","경기","감악산 정상","hundred","rock-dome","75","61","0.5","none","121","50","red"
"0000000010","관악산","632","서울","연주대","hundred","pavilion","77","41","0.64","none","128","47","red"
"0000000030","마니산","472","인천","마니산 정상","hundred","altar","81","50","0.78","none","121","50","red"
"0000000033","명지산","1252","경기","명지산","hundred","none","0","0","1","custom","121","50","red"
"0000000043","백운산(포천)","903","경기","도마봉","hundred","none","0","0","1","none","121","50","red"
"0000000055","소요산","588","경기","소요산 ㅡ 의상대","hundred","rock-spire","72","67","0.43","none","121","50","red"
"0000000061","용문산","1157","경기","용문산","hundred","none","0","0","1","custom","54","49","red"
"0000000064","운악산","935","경기","동봉","hundred","rock-spire","74","49","0.64","none","121","50","red"
"0000000068","유명산","864","경기","유명산","hundred","none","0","0","1","none","121","50","red"
"0000000080","천마산","810","경기","천마산 정상(해발 812m)","hundred","rock-dome","86","62","0.35","none","121","50","red"
"0000000085","축령산","887","경기","정상석","hundred","none","0","0","1","none","121","50","red"
"0000000094","화악산","1468","경기","중봉","hundred","none","0","0","1","custom","54","49","red"
"osm-2475002037","개화산","132","서울","-","local","none","0","0","1","none","121","50","red"
"osm-446003587","검단산(하남)","658","경기","-","local","none","0","0","1","none","121","50","red"
"osm-2351356729","계양산","395","인천","-","local","pavilion","72","62","0.75","none","121","50","red"
"osm-4663856172","고려산","436","인천","-","local","meadow","49","115","0.75","none","121","50","red"
"osm-445993704","광교산","582","경기","시루봉","local","none","0","0","1","none","121","50","red"
"osm-2668196921","구룡산","306","서울","-","local","none","0","0","1","none","121","50","red"
"osm-288169256","남산","267","서울","-","local","tower","86","46","0.71","none","125","50","red"
"osm-5404330941","남한산","522","경기","-","local","fortress","54","93","0.85","none","54","49","red"
"osm-5515194678","노고산(고양)","487","경기","-","local","none","0","0","1","none","54","49","red"
"osm-2668200158","대모산","293","서울","-","local","none","0","0","1","none","121","50","red"
"osm-445998652","모락산","385","경기","-","local","rock-dome","67","77","0.43","none","121","50","red"
"osm-7481782673","문수산(김포)","376","경기","-","local","fortress","54","96","0.7","none","121","50","red"
"osm-445993581","백운산(의왕)","567","경기","-","local","none","0","0","1","none","54","49","red"
"osm-4908796773","봉산(은평)","209","서울","-","local","none","0","0","1","none","54","49","red"
"osm-2668271331","북악산","342","서울","-","local","fortress","55","101","0.7","none","121","50","red"
"osm-10252883546","불곡산(성남)","335","경기","-","local","none","0","0","1","none","54","49","red"
"osm-7972716239","불암산","508","서울","-","local","rock-dome","66","74","0.71","none","121","50","red"
"osm-2668273218","삼성산","481","서울","-","local","none","0","0","1","none","54","49","red"
"osm-7272756382","석성산","470","경기","-","local","none","0","0","1","none","121","50","red"
"osm-7972716219","소래산","300","인천","-","local","none","0","0","1","none","121","50","red"
"osm-3803846068","수락산","638","서울","-","local","rock-wall","49","88","0.71","none","54","49","red"
"osm-10252999053","아차산","296","서울","-","local","none","0","0","1","none","54","49","red"
"osm-2668320332","안산(서대문)","296","서울","-","local","none","0","0","1","none","121","50","red"
"osm-8794850421","앵자봉","670","경기","-","local","none","0","0","1","none","54","49","red"
"osm-852509472","예봉산","683","경기","-","local","none","0","0","1","none","54","49","red"
"osm-2493496155","용마산","348","서울","-","local","none","0","0","1","none","121","50","red"
"osm-2668326235","우면산","293","서울","-","local","none","0","0","1","none","54","49","red"
"osm-5750035970","운길산","610","경기","-","local","none","0","0","1","none","121","50","red"
"osm-6505641385","인왕산","339","서울","-","local","rock-dome","49","79","0.54","none","54","49","red"
"osm-2668340883","청계산","618","서울","-","local","none","0","0","1","none","54","49","red"
